20181930-20:19:29:124982275 $GPGSV,2,1,07,02,,,26,04,,,38,05,,,37,12,,,28*7C
20181930-20:19:29:129945921 $GPGSV,2,2,07,19,,,23,20,,,24,29,,,41*7D
20181930-20:19:29:228751755 $GLGSV,1,1,04,66,,,35,82,,,37,83,,,35,,,,19*6C
20181930-20:19:29:233466546 $GNGLL,,,,,034149.00,V,N*5F
20181930-20:19:29:238378838 $GNZDA,034149.00,31,01,2018,00,00*7B
20181930-20:19:29:905765765 $GNRMC,034150.00,V,,,,,,,310118,,,N*6A
20181930-20:19:29:910591911 $GNVTG,,,,,,,,,N*2E
20181930-20:19:30:009859567 $GNGGA,034150.00,,,,,0,00,99.99,,,,,,*7B
20181930-20:19:30:014970036 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:30:019822744 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:30:113838681 $GPGSV,2,1,07,02,,,28,04,,,36,05,,,37,12,,,27*73
20181930-20:19:30:118778525 $GPGSV,2,2,07,19,,,20,20,,,21,29,,,39*74
20181930-20:19:30:217785192 $GLGSV,1,1,04,66,,,32,82,,,36,83,,,36,,,,17*67
20181930-20:19:30:222874463 $GNGLL,,,,,034150.00,V,N*57
20181930-20:19:30:227746963 $GNZDA,034150.00,31,01,2018,00,00*73
20181930-20:19:30:907010400 $GNRMC,034151.00,V,,,,,,,310118,,,N*6B
20181930-20:19:30:912055087 $GNVTG,,,,,,,,,N*2E
20181930-20:19:31:011142796 $GNGGA,034151.00,,,,,0,00,99.99,,,,,,*7A
20181930-20:19:31:016126702 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:31:020877900 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:31:115191233 $GPGSV,2,1,06,02,,,30,04,,,37,05,,,37,12,,,25*78
20181930-20:19:31:120002118 $GPGSV,2,2,06,20,,,20,29,,,40*70
20181930-20:19:31:415278941 $GLGSV,1,1,04,66,,,33,82,,,37,83,,,37,,,,17*66
20181930-20:19:31:420143108 $GNGLL,,,,,034151.00,V,N*56
20181930-20:19:31:425165764 $GNZDA,034151.00,31,01,2018,00,00*72
20181930-20:19:31:917848472 $GNRMC,034152.00,V,,,,,,,310118,,,N*68
20181930-20:19:31:922909774 $GNVTG,,,,,,,,,N*2E
20181930-20:19:32:021692222 $GNGGA,034152.00,,,,,0,00,99.99,,,,,,*79
20181930-20:19:32:026542639 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:32:031195920 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:32:125647899 $GPGSV,2,1,06,02,,,31,04,,,37,05,,,36,12,,,25*78
20181930-20:19:32:130288420 $GPGSV,2,2,06,20,,,17,29,,,39*7A
20181930-20:19:32:425335503 $GLGSV,1,1,04,66,,,32,82,,,37,83,,,34,,,,16*65
20181930-20:19:32:430955087 $GNGLL,,,,,034152.00,V,N*55
20181930-20:19:32:436279410 $GNZDA,034152.00,31,01,2018,00,00*71
20181930-20:19:32:910696597 $GNRMC,034153.00,V,,,,,,,310118,,,N*69
20181930-20:19:32:915601805 $GNVTG,,,,,,,,,N*2E
20181930-20:19:33:014773524 $GNGGA,034153.00,,,,,0,00,99.99,,,,,,*78
20181930-20:19:33:019576284 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:33:024451701 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:33:118778211 $GPGSV,2,1,06,02,,,31,04,,,40,05,,,40,12,,,25*79
