20181726-14:17:45:529634149 $GNZDA,033309.00,26,01,2018,00,00*7C
20181726-14:17:45:843312170 $GNRMC,033310.00,A,3651.98944,S,17443.43051,E,0.126,,260118,,,A*77
20181726-14:17:45:948414305 $GNVTG,,T,,M,0.126,N,0.234,K,A*3D
20181726-14:17:45:954449722 $GNGGA,033310.00,3651.98944,S,17443.43051,E,1,04,2.17,17.1,M,28.1,M,,*6E
20181726-14:17:46:052835191 $GNGSA,A,3,05,13,12,02,,,,,,,,,3.42,2.17,2.64*1B
20181726-14:17:46:057782899 $GNGSA,A,3,,,,,,,,,,,,,3.42,2.17,2.64*1D
20181726-14:17:46:156606441 $GPGSV,3,1,09,02,46,122,31,05,81,086,37,06,,,31,12,38,331,40*4E
20181726-14:17:46:161451336 $GPGSV,3,2,09,13,13,033,40,15,,,24,19,,,34,20,,,25*4D
20181726-14:17:46:260712274 $GPGSV,3,3,09,25,44,276,23*45
20181726-14:17:46:265600659 $GLGSV,2,1,05,70,64,039,38,,,,40,,,,36,,,,26*52
20181726-14:17:46:270343732 $GLGSV,2,2,05,,,,40*64
20181726-14:17:46:555087170 $GNGLL,3651.98944,S,17443.43051,E,033310.00,A,A*67
20181726-14:17:46:559672326 $GNZDA,033310.00,26,01,2018,00,00*74
20181726-14:17:46:834854149 $GNRMC,033311.00,A,3651.98944,S,17443.43052,E,0.014,,260118,,,A*75
20181726-14:17:46:938817951 $GNVTG,,T,,M,0.014,N,0.026,K,A*3C
20181726-14:17:46:943858003 $GNGGA,033311.00,3651.98944,S,17443.43052,E,1,04,2.17,17.0,M,28.1,M,,*6D
20181726-14:17:47:043055867 $GNGSA,A,3,05,13,12,02,,,,,,,,,3.42,2.17,2.64*1B
20181726-14:17:47:047948628 $GNGSA,A,3,,,,,,,,,,,,,3.42,2.17,2.64*1D
20181726-14:17:47:147161596 $GPGSV,3,1,09,02,46,122,33,05,81,086,36,06,,,29,12,38,331,40*44
20181726-14:17:47:152124878 $GPGSV,3,2,09,13,13,033,40,15,,,24,19,,,33,20,,,23*4C
20181726-14:17:47:251288940 $GPGSV,3,3,09,25,44,276,21*47
20181726-14:17:47:256355763 $GLGSV,2,1,05,70,64,039,37,,,,41,,,,35,,,,28*51
20181726-14:17:47:261631857 $GLGSV,2,2,05,,,,41*65
20181726-14:17:47:544997013 $GNGLL,3651.98944,S,17443.43052,E,033311.00,A,A*65
20181726-14:17:47:549590607 $GNZDA,033311.00,26,01,2018,00,00*75
20181726-14:17:47:843816232 $GNRMC,033311.00,A,3651.98953,S,17443.43052,E,0.112,,260118,,,A*74
20181726-14:17:47:947819409 $GNVTG,,T,,M,0.112,N,0.208,K,A*35
20181726-14:17:47:952953523 $GNGGA,033311.00,3651.98953,S,17443.43052,E,1,05,1.89,16.8,M,28.1,M,,*67
20181726-14:17:48:052091648 $GNGSA,A,3,05,13,12,02,,,,,,,,,2.78,1.89,2.04*11
20181726-14:17:48:056934825 $GNGSA,A,3,70,,,,,,,,,,,,2.78,1.89,2.04*10
20181726-14:17:48:156028471 $GPGSV,3,1,09,02,46,122,36,05,81,086,33,06,,,34,12,38,331,38*47
20181726-14:17:48:160978002 $GPGSV,3,2,09,13,13,033,42,15,,,24,19,,,32,20,,,22*4E
20181726-14:17:48:260039565 $GPGSV,3,3,09,25,44,276,19*4C
20181726-14:17:48:264954409 $GLGSV,2,1,06,70,64,039,31,84,,,41,,,,34,,,,29*58
20181726-14:17:48:565036908 $GLGSV,2,2,06,,,,34,,,,29*6F
20181726-14:17:48:569754929 $GNGLL,3651.98953,S,17443.43052,E,033311.00,A,A*63
20181726-14:17:48:574441231 $GNZDA,033311.00,26,01,2018,00,00*75
20181726-14:17:48:825282742 $GNRMC,033312.00,A,3651.98931,S,17443.43055,E,0.125,,260118,,,A*70
20181726-14:17:48:929175971 $GNVTG,,T,,M,0.125,N,0.231,K,A*3B
20181726-14:17:48:934214877 $GNGGA,033312.00,3651.98931,S,17443.43055,E,1,05,1.89,17.1,M,28.1,M,,*6F
20181726-14:17:49:033472585 $GNGSA,A,3,05,13,12,02,,,,,,,,,2.78,1.89,2.04*11
20181726-14:17:49:038728419 $GNGSA,A,3,70,,,,,,,,,,,,2.78,1.89,2.04*10
20181726-14:17:49:137450502 $GPGSV,3,1,09,02,46,122,38,05,81,086,34,06,,,30,12,38,331,38*4A
20181726-14:17:49:142340033 $GPGSV,3,2,09,13,13,033,42,15,,,25,19,,,32,20,,,22*4F
20181726-14:17:49:241633262 $GPGSV,3,3,09,25,44,276,20*46
20181726-14:17:49:246717794 $GLGSV,2,1,06,70,64,039,22,84,,,41,,,,34,,,,29*5A
