20181930-20:19:27:417902693 $GLGSV,2,1,05,65,07,155,,66,51,109,38,67,41,025,38,82,,,36*56
20181930-20:19:27:422813057 $GLGSV,2,2,05,,,,37*64
20181930-20:19:27:663528474 $GNGLL,,,,,022748.00,V,N*5F
20181930-20:19:27:669517068 $GNZDA,022748.00,31,01,2018,00,00*7B
20181930-20:19:28:159025609 $GNRMC,022749.00,V,,,,,,,310118,,,N*63
20181930-20:19:28:164044568 $GNVTG,,,,,,,,,N*2E
20181930-20:19:28:262866234 $GNGGA,022749.00,,,,,0,04,5.94,,,,,,*4E
20181930-20:19:28:267845661 $GNGSA,A,1,02,05,,,,,,,,,,,12.01,5.94,10.43*15
20181930-20:19:28:273618370 $GNGSA,A,1,66,67,,,,,,,,,,,12.01,5.94,10.43*13
20181930-20:19:28:367100765 $GPGSV,2,1,07,02,61,147,38,05,67,010,45,06,,,33,12,,,38*7B
20181930-20:19:28:372044463 $GPGSV,2,2,07,19,,,29,20,,,33,29,,,32*75
20181930-20:19:28:471182224 $GLGSV,2,1,05,65,07,155,,66,51,110,36,67,41,025,38,82,,,36*50
20181930-20:19:28:475979151 $GLGSV,2,2,05,,,,37*64
20181930-20:19:28:732333213 $GNGLL,,,,,022749.00,V,N*5E
20181930-20:19:28:736963578 $GNZDA,022749.00,31,01,2018,00,00*7A
20181930-20:19:29:111078786 $GNRMC,022750.00,A,3651.99241,S,17443.44681,E,0.111,,310118,,,A*76
20181930-20:19:29:214828578 $GNVTG,,T,,M,0.111,N,0.206,K,A*38
20181930-20:19:29:220079723 $GNGGA,022750.00,3651.99241,S,17443.44681,E,1,04,5.95,68.1,M,28.1,M,,*68
20181930-20:19:29:319170609 $GNGSA,A,3,02,05,,,,,,,,,,,12.01,5.95,10.44*11
20181930-20:19:29:323945452 $GNGSA,A,3,66,67,,,,,,,,,,,12.01,5.95,10.44*17
20181930-20:19:29:423298630 $GPGSV,2,1,07,02,61,147,40,05,67,010,45,06,,,33,12,,,39*75
20181930-20:19:29:428378786 $GPGSV,2,2,07,19,,,29,20,,,34,29,,,31*71
20181930-20:19:29:527798473 $GLGSV,2,1,05,65,07,155,,66,51,110,37,67,41,025,39,82,,,36*50
20181930-20:19:29:532925504 $GLGSV,2,2,05,,,,37*64
20181930-20:19:29:782529254 $GNGLL,3651.99241,S,17443.44681,E,022750.00,A,A*64
20181930-20:19:29:787326442 $GNZDA,022750.00,31,01,2018,00,00*72
20181930-20:19:30:112175817 $GNRMC,022751.00,A,3651.99245,S,17443.44696,E,0.281,,310118,,,A*7F
20181930-20:19:30:216041233 $GNVTG,,T,,M,0.281,N,0.520,K,A*31
20181930-20:19:30:221053942 $GNGGA,022751.00,3651.99245,S,17443.44696,E,1,04,5.95,68.0,M,28.1,M,,*6A
20181930-20:19:30:320336598 $GNGSA,A,3,02,05,,,,,,,,,,,12.02,5.95,10.44*12
20181930-20:19:30:325408994 $GNGSA,A,3,66,67,,,,,,,,,,,12.02,5.95,10.44*14
20181930-20:19:30:424247744 $GPGSV,2,1,07,02,61,147,39,05,67,010,45,06,,,33,12,,,39*7B
20181930-20:19:30:429362535 $GPGSV,2,2,07,19,,,30,20,,,34,29,,,32*7A
20181930-20:19:30:528350921 $GLGSV,2,1,05,65,07,155,,66,51,110,38,67,41,025,39,82,,,34*5D
20181930-20:19:30:533511233 $GLGSV,2,2,05,,,,37*64
20181930-20:19:30:782641129 $GNGLL,3651.99245,S,17443.44696,E,022751.00,A,A*67
20181930-20:19:30:787556233 $GNZDA,022751.00,31,01,2018,00,00*73
20181930-20:19:31:110399723 $GNRMC,022752.00,A,3651.99251,S,17443.44693,E,0.232,,310118,,,A*74
20181930-20:19:31:214097379 $GNVTG,,T,,M,0.232,N,0.430,K,A*39
20181930-20:19:31:219084775 $GNGGA,022752.00,3651.99251,S,17443.44693,E,1,04,5.96,67.3,M,28.1,M,,*66
20181930-20:19:31:318090191 $GNGSA,A,3,02,05,,,,,,,,,,,12.03,5.96,10.45*11
20181930-20:19:31:322999514 $GNGSA,A,3,66,67,,,,,,,,,,,12.03,5.96,10.45*17
20181930-20:19:31:422384514 $GPGSV,2,1,07,02,61,147,39,05,67,010,44,06,,,32,12,,,37*75
20181930-20:19:31:427236545 $GPGSV,2,2,07,19,,,31,20,,,35,29,,,31*79
20181930-20:19:31:526452691 $GLGSV,2,1,05,65,07,155,,66,51,110,37,67,41,025,40,82,,,33*5B
20181930-20:19:31:531343889 $GLGSV,2,2,05,,,,37*64
20181930-20:19:31:782306493 $GNGLL,3651.99251,S,17443.44693,E,022752.00,A,A*64
20181930-20:19:31:786854566 $GNZDA,022752.00,31,01,2018,00,00*70
20181930-20:19:32:112205556 $GNRMC,022753.00,A,3651.99252,S,17443.44710,E,0.276,,310118,,,A*7C
20181930-20:19:32:215168472 $GNVTG,,T,,M,0.276,N,0.510,K,A*3A
20181930-20:19:32:220250920 $GNGGA,022753.00,3651.99252,S,17443.44710,E,1,04,5.96,67.2,M,28.1,M,,*6F
20181930-20:19:32:319483889 $GNGSA,A,3,02,05,,,,,,,,,,,12.04,5.96,10.46*15
20181930-20:19:32:324418524 $GNGSA,A,3,66,67,,,,,,,,,,,12.04,5.96,10.46*13
20181930-20:19:32:423345243 $GPGSV,2,1,07,02,61,147,39,05,67,010,44,06,,,32,12,,,35*77
20181930-20:19:32:428201180 $GPGSV,2,2,07,19,,,34,20,,,36,29,,,30*7E
20181930-20:19:32:527284983 $GLGSV,2,1,05,65,07,155,,66,51,110,39,67,41,025,38,82,,,31*58
20181930-20:19:32:532411180 $GLGSV,2,2,05,,,,36*65
20181930-20:19:32:782411857 $GNGLL,3651.99252,S,17443.44710,E,022753.00,A,A*6C
20181930-20:19:32:786998003 $GNZDA,022753.00,31,01,2018,00,00*71
20181930-20:19:33:111634097 $GNRMC,022754.00,A,3651.99252,S,17443.44715,E,0.289,,310118,,,A*7E
20181930-20:19:33:214782795 $GNVTG,,T,,M,0.289,N,0.535,K,A*3D
20181930-20:19:33:220168003 $GNGGA,022754.00,3651.99252,S,17443.44715,E,1,04,5.97,66.8,M,28.1,M,,*67
20181930-20:19:33:319150086 $GNGSA,A,3,02,05,,,,,,,,,,,12.04,5.97,10.46*14
20181930-20:19:33:324109878 $GNGSA,A,3,66,67,,,,,,,,,,,12.04,5.97,10.46*12
20181930-20:19:33:422789566 $GPGSV,2,1,07,02,61,147,38,05,67,010,45,06,,,36,12,,,34*72
20181930-20:19:33:427521388 $GPGSV,2,2,07,19,,,34,20,,,37,29,,,29*77
20181930-20:19:33:526829201 $GLGSV,2,1,05,65,07,155,,66,51,110,36,67,41,025,38,82,,,31*57
20181930-20:19:33:531613003 $GLGSV,2,2,05,,,,36*65
20181930-20:19:33:782441492 $GNGLL,3651.99252,S,17443.44715,E,022754.00,A,A*6E
20181930-20:19:33:787122378 $GNZDA,022754.00,31,01,2018,00,00*76
20181930-20:19:34:144536024 $GNRMC,022755.00,A,3651.99503,S,17443.43877,E,0.112,,310118,,,A*71
20181930-20:19:34:248124305 $GNVTG,,T,,M,0.112,N,0.207,K,A*3A
20181930-20:19:34:253029357 $GNGGA,022755.00,3651.99503,S,17443.43877,E,1,05,1.78,49.4,M,28.1,M,,*6C
20181930-20:19:34:353625867 $GNGSA,A,3,02,05,29,,,,,,,,,,3.85,1.78,3.41*16
20181930-20:19:34:358698732 $GNGSA,A,3,66,67,,,,,,,,,,,3.85,1.78,3.41*1B
