20184526-13:45:38:204294719 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:38:298618052 $GPGSV,2,1,06,02,,,32,05,,,35,06,,,37,19,,,37*72
20184526-13:45:38:303450032 $GPGSV,2,2,06,20,,,38,29,,,32*7C
20184526-13:45:38:402646177 $GLGSV,2,1,05,68,,,36,70,,,29,74,,,22,84,,,34*6C
20184526-13:45:38:407613105 $GLGSV,2,2,05,,,,28*6A
20184526-13:45:38:412892063 $GNGLL,,,,,024046.00,V,N*50
20184526-13:45:38:622133313 $GNZDA,024046.00,26,01,2018,00,00*72
20184526-13:45:39:090141802 $GNRMC,024047.00,V,,,,,,,260118,,,N*6A
20184526-13:45:39:095065760 $GNVTG,,,,,,,,,N*2E
20184526-13:45:39:194034615 $GNGGA,024047.00,,,,,0,00,99.99,,,,,,*7D
20184526-13:45:39:198991958 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:39:203863417 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:39:298204302 $GPGSV,2,1,06,02,,,35,05,,,31,06,,,36,19,,,37*70
